track_id,seq_order,start_time,end_time
artist-title copy,1,3.715192744,6.989206349
artist-title copy,2,6.989206349,10.170340136
artist-title copy,3,10.170340136,13.514013605
artist-title copy,4,13.514013605,16.718367347
artist-title copy,5,16.718367347,19.853061224
artist-title copy,6,19.853061224,23.219954649
artist-title copy,7,23.219954649,26.447528345
artist-title copy,8,26.447528345,29.675102041
artist-title copy,9,29.675102041,32.879455782
artist-title copy,10,32.879455782,36.269569161
artist-title copy,11,36.269569161,42.585396825
artist-title copy,12,42.585396825,45.929070295
artist-title copy,13,45.929070295,49.086984127
artist-title copy,14,49.086984127,52.384217687
artist-title copy,15,52.384217687,55.518911565
artist-title copy,16,55.518911565,58.839365079
artist-title copy,17,58.839365079,62.020498866
artist-title copy,18,62.020498866,65.387392290
artist-title copy,19,65.387392290,71.819319728
artist-title copy,20,71.819319728,75.046893424
artist-title copy,21,75.046893424,78.320907029
artist-title copy,22,78.320907029,79.946303855
artist-title copy,23,79.946303855,81.548480726
artist-title copy,24,81.548480726,84.822494331
artist-title copy,25,84.822494331,86.401451247
artist-title copy,26,86.401451247,88.096507937
artist-title copy,27,88.096507937,89.675464853
artist-title copy,28,89.675464853,91.277641723
artist-title copy,29,91.277641723,94.574875283
artist-title copy,30,94.574875283,97.802448980
artist-title copy,31,97.802448980,101.076462585
artist-title copy,32,101.076462585,104.187936508
artist-title copy,33,104.187936508,107.508390023
artist-title copy,34,107.508390023,110.735963719
artist-title copy,35,110.735963719,114.033197279
artist-title copy,36,114.033197279,117.400090703
artist-title copy,37,117.400090703,120.349024943
artist-title copy,38,120.349024943,123.669478458
artist-title copy,39,123.669478458,124.923356009
artist-title copy,40,124.923356009,127.036371882
artist-title copy,41,127.036371882,130.194285714
artist-title copy,42,130.194285714,131.448163265
artist-title copy,43,131.448163265,133.537959184
artist-title copy,44,133.537959184,136.695873016
artist-title copy,45,136.695873016,140.016326531
artist-title copy,46,140.016326531,143.197460317
artist-title copy,47,143.197460317,146.425034014
artist-title copy,48,146.425034014,152.903401361
artist-title copy,49,152.903401361,156.247074830
artist-title copy,50,156.247074830,159.428208617
artist-title copy,51,159.428208617,161.053605442
artist-title copy,52,161.053605442,162.679002268
artist-title copy,53,162.679002268,165.836916100
artist-title copy,54,165.836916100,167.578412698
artist-title copy,55,167.578412698,169.227029478
artist-title copy,56,169.227029478,170.759546485
artist-title copy,57,170.759546485,172.361723356
artist-title copy,58,172.361723356,175.705396825
artist-title copy,59,175.705396825,178.886530612
artist-title copy,60,178.886530612,182.137324263
artist-title copy,61,182.137324263,185.364897959
artist-title copy,62,185.364897959,187.013514739
artist-title copy,63,187.013514739,188.638911565
artist-title copy,64,188.638911565,191.982585034
artist-title copy,65,191.982585034,193.515102041
artist-title copy,66,193.515102041,195.233378685
artist-title copy,67,195.233378685,196.742675737
artist-title copy,68,196.742675737,198.368072562
artist-title copy,69,198.368072562,201.618866213
artist-title copy,70,201.618866213,204.846439909
artist-title copy,71,204.846439909,206.448616780
artist-title copy,72,206.448616780,208.074013605
artist-title copy,73,208.074013605,209.652970522
artist-title copy,74,209.652970522,211.278367347
artist-title copy,75,211.278367347,212.857324263
artist-title copy,76,212.857324263,214.552380952
artist-title copy,77,214.552380952,216.108117914
artist-title copy,78,216.108117914,217.687074830
artist-title copy,79,217.687074830,219.405351474
artist-title copy,80,219.405351474,221.030748299
artist-title copy,81,221.030748299,222.632925170
artist-title copy,82,222.632925170,224.304761905
artist-title copy,83,224.304761905,227.555555556
artist-title copy,84,227.555555556,230.806349206
artist-title copy,85,230.806349206,233.987482993
artist-title copy,86,233.987482993,237.238276644
artist-title copy,87,237.238276644,240.465850340
artist-title copy,88,240.465850340,245.434920635
artist-title copy,89,245.434920635,
