track_id,seq_order,start_time,end_time
artist-title,1,3.715192744,6.989206349
artist-title,2,6.989206349,10.170340136
artist-title,3,10.170340136,13.514013605
artist-title,4,13.514013605,16.718367347
artist-title,5,16.718367347,19.853061224
artist-title,6,19.853061224,23.219954649
artist-title,7,23.219954649,26.447528345
artist-title,8,26.447528345,29.675102041
artist-title,9,29.675102041,32.879455782
artist-title,10,32.879455782,36.269569161
artist-title,11,36.269569161,42.585396825
artist-title,12,42.585396825,45.929070295
artist-title,13,45.929070295,49.086984127
artist-title,14,49.086984127,52.384217687
artist-title,15,52.384217687,55.518911565
artist-title,16,55.518911565,58.839365079
artist-title,17,58.839365079,62.020498866
artist-title,18,62.020498866,65.387392290
artist-title,19,65.387392290,71.819319728
artist-title,20,71.819319728,75.046893424
artist-title,21,75.046893424,78.320907029
artist-title,22,78.320907029,79.946303855
artist-title,23,79.946303855,81.548480726
artist-title,24,81.548480726,84.822494331
artist-title,25,84.822494331,86.401451247
artist-title,26,86.401451247,88.096507937
artist-title,27,88.096507937,89.675464853
artist-title,28,89.675464853,91.277641723
artist-title,29,91.277641723,94.574875283
artist-title,30,94.574875283,97.802448980
artist-title,31,97.802448980,101.076462585
artist-title,32,101.076462585,104.187936508
artist-title,33,104.187936508,107.508390023
artist-title,34,107.508390023,110.735963719
artist-title,35,110.735963719,114.033197279
artist-title,36,114.033197279,117.400090703
artist-title,37,117.400090703,120.349024943
artist-title,38,120.349024943,123.669478458
artist-title,39,123.669478458,124.923356009
artist-title,40,124.923356009,127.036371882
artist-title,41,127.036371882,130.194285714
artist-title,42,130.194285714,131.448163265
artist-title,43,131.448163265,133.537959184
artist-title,44,133.537959184,136.695873016
artist-title,45,136.695873016,140.016326531
artist-title,46,140.016326531,143.197460317
artist-title,47,143.197460317,146.425034014
artist-title,48,146.425034014,152.903401361
artist-title,49,152.903401361,156.247074830
artist-title,50,156.247074830,159.428208617
artist-title,51,159.428208617,161.053605442
artist-title,52,161.053605442,162.679002268
artist-title,53,162.679002268,165.836916100
artist-title,54,165.836916100,167.578412698
artist-title,55,167.578412698,169.227029478
artist-title,56,169.227029478,170.759546485
artist-title,57,170.759546485,172.361723356
artist-title,58,172.361723356,175.705396825
artist-title,59,175.705396825,178.886530612
artist-title,60,178.886530612,182.137324263
artist-title,61,182.137324263,185.364897959
artist-title,62,185.364897959,187.013514739
artist-title,63,187.013514739,188.638911565
artist-title,64,188.638911565,191.982585034
artist-title,65,191.982585034,193.515102041
artist-title,66,193.515102041,195.233378685
artist-title,67,195.233378685,196.742675737
artist-title,68,196.742675737,198.368072562
artist-title,69,198.368072562,201.618866213
artist-title,70,201.618866213,204.846439909
artist-title,71,204.846439909,206.448616780
artist-title,72,206.448616780,208.074013605
artist-title,73,208.074013605,209.652970522
artist-title,74,209.652970522,211.278367347
artist-title,75,211.278367347,212.857324263
artist-title,76,212.857324263,214.552380952
artist-title,77,214.552380952,216.108117914
artist-title,78,216.108117914,217.687074830
artist-title,79,217.687074830,219.405351474
artist-title,80,219.405351474,221.030748299
artist-title,81,221.030748299,222.632925170
artist-title,82,222.632925170,224.304761905
artist-title,83,224.304761905,227.555555556
artist-title,84,227.555555556,230.806349206
artist-title,85,230.806349206,233.987482993
artist-title,86,233.987482993,237.238276644
artist-title,87,237.238276644,240.465850340
artist-title,88,240.465850340,245.434920635
artist-title,89,245.434920635,
