track_id,seq_order,start_time,end_time
vierratale-jadi_yang_kuinginkan,1,0.743038549,7.476825397
vierratale-jadi_yang_kuinginkan,2,7.476825397,10.913378685
vierratale-jadi_yang_kuinginkan,3,10.913378685,14.303492063
vierratale-jadi_yang_kuinginkan,4,14.303492063,17.670385488
vierratale-jadi_yang_kuinginkan,5,17.670385488,21.176598639
vierratale-jadi_yang_kuinginkan,6,21.176598639,24.404172336
vierratale-jadi_yang_kuinginkan,7,24.404172336,27.817505669
vierratale-jadi_yang_kuinginkan,8,27.817505669,31.161179138
vierratale-jadi_yang_kuinginkan,9,31.161179138,34.551292517
vierratale-jadi_yang_kuinginkan,10,34.551292517,37.894965986
vierratale-jadi_yang_kuinginkan,11,37.894965986,39.543582766
vierratale-jadi_yang_kuinginkan,12,39.543582766,41.308299320
vierratale-jadi_yang_kuinginkan,13,41.308299320,44.651972789
vierratale-jadi_yang_kuinginkan,14,44.651972789,46.323809524
vierratale-jadi_yang_kuinginkan,15,46.323809524,48.088526077
vierratale-jadi_yang_kuinginkan,16,48.088526077,51.478639456
vierratale-jadi_yang_kuinginkan,17,51.478639456,54.845532880
vierratale-jadi_yang_kuinginkan,18,54.845532880,58.235646259
vierratale-jadi_yang_kuinginkan,19,58.235646259,59.884263039
vierratale-jadi_yang_kuinginkan,20,59.884263039,61.672199546
vierratale-jadi_yang_kuinginkan,21,61.672199546,63.320816327
vierratale-jadi_yang_kuinginkan,22,63.320816327,64.992653061
vierratale-jadi_yang_kuinginkan,23,64.992653061,68.359546485
vierratale-jadi_yang_kuinginkan,24,68.359546485,71.772879819
vierratale-jadi_yang_kuinginkan,25,71.772879819,74.303854875
vierratale-jadi_yang_kuinginkan,26,74.303854875,74.884353741
vierratale-jadi_yang_kuinginkan,27,74.884353741,76.811609977
vierratale-jadi_yang_kuinginkan,28,76.811609977,78.529886621
vierratale-jadi_yang_kuinginkan,29,78.529886621,81.850340136
vierratale-jadi_yang_kuinginkan,30,81.850340136,85.263673469
vierratale-jadi_yang_kuinginkan,31,85.263673469,88.607346939
vierratale-jadi_yang_kuinginkan,32,88.607346939,92.020680272
vierratale-jadi_yang_kuinginkan,33,92.020680272,95.410793651
vierratale-jadi_yang_kuinginkan,34,95.410793651,98.754467120
vierratale-jadi_yang_kuinginkan,35,98.754467120,100.472743764
vierratale-jadi_yang_kuinginkan,36,100.472743764,102.167800454
vierratale-jadi_yang_kuinginkan,37,102.167800454,105.511473923
vierratale-jadi_yang_kuinginkan,38,105.511473923,107.160090703
vierratale-jadi_yang_kuinginkan,39,107.160090703,108.971247166
vierratale-jadi_yang_kuinginkan,40,108.971247166,112.338140590
vierratale-jadi_yang_kuinginkan,41,112.338140590,115.705034014
vierratale-jadi_yang_kuinginkan,42,115.705034014,119.048707483
vierratale-jadi_yang_kuinginkan,43,119.048707483,120.697324263
vierratale-jadi_yang_kuinginkan,44,120.697324263,122.485260771
vierratale-jadi_yang_kuinginkan,45,122.485260771,124.157097506
vierratale-jadi_yang_kuinginkan,46,124.157097506,125.875374150
vierratale-jadi_yang_kuinginkan,47,125.875374150,129.242267574
vierratale-jadi_yang_kuinginkan,48,129.242267574,132.585941043
vierratale-jadi_yang_kuinginkan,49,132.585941043,135.233015873
vierratale-jadi_yang_kuinginkan,50,135.233015873,135.813514739
vierratale-jadi_yang_kuinginkan,51,135.813514739,137.671111111
vierratale-jadi_yang_kuinginkan,52,137.671111111,139.366167800
vierratale-jadi_yang_kuinginkan,53,139.366167800,142.733061224
vierratale-jadi_yang_kuinginkan,54,142.733061224,145.960634921
vierratale-jadi_yang_kuinginkan,55,145.960634921,149.472653061
vierratale-jadi_yang_kuinginkan,56,149.472653061,151.179319728
vierratale-jadi_yang_kuinginkan,57,151.179319728,152.833741497
vierratale-jadi_yang_kuinginkan,58,152.833741497,156.264489796
vierratale-jadi_yang_kuinginkan,59,156.264489796,159.625578231
vierratale-jadi_yang_kuinginkan,60,159.625578231,162.986666667
vierratale-jadi_yang_kuinginkan,61,162.986666667,164.658503401
vierratale-jadi_yang_kuinginkan,62,164.658503401,166.434829932
vierratale-jadi_yang_kuinginkan,63,166.434829932,168.106666667
vierratale-jadi_yang_kuinginkan,64,168.106666667,169.813333333
vierratale-jadi_yang_kuinginkan,65,169.813333333,173.174421769
vierratale-jadi_yang_kuinginkan,66,173.174421769,176.570340136
vierratale-jadi_yang_kuinginkan,67,176.570340136,179.043265306
vierratale-jadi_yang_kuinginkan,68,179.043265306,179.705034014
vierratale-jadi_yang_kuinginkan,69,179.705034014,181.568435374
vierratale-jadi_yang_kuinginkan,70,181.568435374,183.814965986
vierratale-jadi_yang_kuinginkan,71,183.814965986,
