track_id,seq_order,start_time,end_time
vierratale-kesepian,1,0.371519274,3.715192744
vierratale-kesepian,2,3.715192744,6.989206349
vierratale-kesepian,3,6.989206349,10.170340136
vierratale-kesepian,4,10.170340136,13.514013605
vierratale-kesepian,5,13.514013605,16.718367347
vierratale-kesepian,6,16.718367347,19.853061224
vierratale-kesepian,7,19.853061224,23.219954649
vierratale-kesepian,8,23.219954649,26.447528345
vierratale-kesepian,9,26.447528345,29.675102041
vierratale-kesepian,10,29.675102041,32.879455782
vierratale-kesepian,11,32.879455782,36.269569161
vierratale-kesepian,12,36.269569161,42.585396825
vierratale-kesepian,13,42.585396825,45.929070295
vierratale-kesepian,14,45.929070295,49.086984127
vierratale-kesepian,15,49.086984127,52.384217687
vierratale-kesepian,16,52.384217687,55.518911565
vierratale-kesepian,17,55.518911565,58.839365079
vierratale-kesepian,18,58.839365079,62.020498866
vierratale-kesepian,19,62.020498866,65.387392290
vierratale-kesepian,20,65.387392290,71.819319728
vierratale-kesepian,21,71.819319728,75.046893424
vierratale-kesepian,22,75.046893424,78.320907029
vierratale-kesepian,23,78.320907029,79.946303855
vierratale-kesepian,24,79.946303855,81.548480726
vierratale-kesepian,25,81.548480726,84.822494331
vierratale-kesepian,26,84.822494331,86.401451247
vierratale-kesepian,27,86.401451247,88.096507937
vierratale-kesepian,28,88.096507937,89.675464853
vierratale-kesepian,29,89.675464853,91.277641723
vierratale-kesepian,30,91.277641723,94.574875283
vierratale-kesepian,31,94.574875283,97.802448980
vierratale-kesepian,32,97.802448980,101.076462585
vierratale-kesepian,33,101.076462585,104.187936508
vierratale-kesepian,34,104.187936508,107.508390023
vierratale-kesepian,35,107.508390023,110.735963719
vierratale-kesepian,36,110.735963719,114.033197279
vierratale-kesepian,37,114.033197279,117.400090703
vierratale-kesepian,38,117.400090703,120.349024943
vierratale-kesepian,39,120.349024943,123.669478458
vierratale-kesepian,40,123.669478458,124.923356009
vierratale-kesepian,41,124.923356009,127.036371882
vierratale-kesepian,42,127.036371882,130.194285714
vierratale-kesepian,43,130.194285714,131.448163265
vierratale-kesepian,44,131.448163265,133.537959184
vierratale-kesepian,45,133.537959184,136.695873016
vierratale-kesepian,46,136.695873016,140.016326531
vierratale-kesepian,47,140.016326531,143.197460317
vierratale-kesepian,48,143.197460317,146.425034014
vierratale-kesepian,49,146.425034014,152.903401361
vierratale-kesepian,50,152.903401361,156.247074830
vierratale-kesepian,51,156.247074830,159.428208617
vierratale-kesepian,52,159.428208617,161.053605442
vierratale-kesepian,53,161.053605442,162.679002268
vierratale-kesepian,54,162.679002268,165.836916100
vierratale-kesepian,55,165.836916100,167.578412698
vierratale-kesepian,56,167.578412698,169.227029478
vierratale-kesepian,57,169.227029478,170.759546485
vierratale-kesepian,58,170.759546485,172.361723356
vierratale-kesepian,59,172.361723356,175.705396825
vierratale-kesepian,60,175.705396825,178.886530612
vierratale-kesepian,61,178.886530612,182.137324263
vierratale-kesepian,62,182.137324263,185.364897959
vierratale-kesepian,63,185.364897959,187.013514739
vierratale-kesepian,64,187.013514739,188.638911565
vierratale-kesepian,65,188.638911565,191.982585034
vierratale-kesepian,66,191.982585034,193.515102041
vierratale-kesepian,67,193.515102041,195.233378685
vierratale-kesepian,68,195.233378685,196.742675737
vierratale-kesepian,69,196.742675737,198.368072562
vierratale-kesepian,70,198.368072562,201.618866213
vierratale-kesepian,71,201.618866213,204.846439909
vierratale-kesepian,72,204.846439909,208.074013605
vierratale-kesepian,73,208.074013605,211.278367347
vierratale-kesepian,74,211.278367347,212.857324263
vierratale-kesepian,75,212.857324263,214.552380952
vierratale-kesepian,76,214.552380952,217.687074830
vierratale-kesepian,77,217.687074830,219.405351474
vierratale-kesepian,78,219.405351474,221.030748299
vierratale-kesepian,79,221.030748299,222.632925170
vierratale-kesepian,80,222.632925170,224.304761905
vierratale-kesepian,81,224.304761905,227.555555556
vierratale-kesepian,82,227.555555556,230.806349206
vierratale-kesepian,83,230.806349206,233.987482993
vierratale-kesepian,84,233.987482993,237.238276644
vierratale-kesepian,85,237.238276644,240.465850340
vierratale-kesepian,86,240.465850340,245.434920635
vierratale-kesepian,87,245.434920635,
