track_id,seq_order,start_time,end_time
vierratale-perih,1,0.626938776,2.623854875
vierratale-perih,2,2.623854875,4.574331066
vierratale-perih,3,4.574331066,6.362267574
vierratale-perih,4,6.362267574,8.243083900
vierratale-perih,5,8.243083900,10.263219955
vierratale-perih,6,10.263219955,12.236916100
vierratale-perih,7,12.236916100,14.140952381
vierratale-perih,8,14.140952381,16.114648526
vierratale-perih,9,16.114648526,18.181224490
vierratale-perih,10,18.181224490,20.085260771
vierratale-perih,11,20.085260771,22.035736961
vierratale-perih,12,22.035736961,23.986213152
vierratale-perih,13,23.986213152,25.890249433
vierratale-perih,14,25.890249433,27.817505669
vierratale-perih,15,27.817505669,29.767981859
vierratale-perih,16,29.767981859,31.695238095
vierratale-perih,17,31.695238095,33.715374150
vierratale-perih,18,33.715374150,35.619410431
vierratale-perih,19,35.619410431,39.427482993
vierratale-perih,20,39.427482993,41.470839002
vierratale-perih,21,41.470839002,43.351655329
vierratale-perih,22,43.351655329,45.441451247
vierratale-perih,23,45.441451247,47.345487528
vierratale-perih,24,47.345487528,49.226303855
vierratale-perih,25,49.226303855,51.246439909
vierratale-perih,26,51.246439909,52.128798186
vierratale-perih,27,52.128798186,53.104036281
vierratale-perih,28,53.104036281,55.100952381
vierratale-perih,29,55.100952381,57.004988662
vierratale-perih,30,57.004988662,58.955464853
vierratale-perih,31,58.955464853,62.856417234
vierratale-perih,32,62.856417234,64.737233560
vierratale-perih,33,64.737233560,66.710929705
vierratale-perih,34,66.710929705,68.707845805
vierratale-perih,35,68.707845805,70.565442177
vierratale-perih,36,70.565442177,72.585578231
vierratale-perih,37,72.585578231,74.489614512
vierratale-perih,38,74.489614512,76.393650794
vierratale-perih,39,76.393650794,78.390566893
vierratale-perih,40,78.390566893,80.387482993
vierratale-perih,41,80.387482993,82.291519274
vierratale-perih,42,82.291519274,84.218775510
vierratale-perih,43,84.218775510,86.169251701
vierratale-perih,44,86.169251701,88.166167800
vierratale-perih,45,88.166167800,90.046984127
vierratale-perih,46,90.046984127,91.997460317
vierratale-perih,47,91.997460317,93.971156463
vierratale-perih,48,93.971156463,95.921632653
vierratale-perih,49,95.921632653,97.918548753
vierratale-perih,50,97.918548753,101.819501134
vierratale-perih,51,101.819501134,103.839637188
vierratale-perih,52,103.839637188,105.650793651
vierratale-perih,53,105.650793651,107.647709751
vierratale-perih,54,107.647709751,109.598185941
vierratale-perih,55,109.598185941,111.502222222
vierratale-perih,56,111.502222222,113.499138322
vierratale-perih,57,113.499138322,114.451156463
vierratale-perih,58,114.451156463,115.426394558
vierratale-perih,59,115.426394558,117.400090703
vierratale-perih,60,117.400090703,119.257687075
vierratale-perih,61,119.257687075,121.277823129
vierratale-perih,62,121.277823129,125.178775510
vierratale-perih,63,125.178775510,127.198911565
vierratale-perih,64,127.198911565,129.062312925
vierratale-perih,65,129.062312925,132.963265306
vierratale-perih,66,132.963265306,134.931156463
vierratale-perih,67,134.931156463,136.759727891
vierratale-perih,68,136.759727891,140.712925170
vierratale-perih,69,140.712925170,142.628571429
vierratale-perih,70,142.628571429,144.579047619
vierratale-perih,71,144.579047619,146.599183673
vierratale-perih,72,146.599183673,148.462585034
vierratale-perih,73,148.462585034,149.402993197
vierratale-perih,74,149.402993197,150.343401361
vierratale-perih,75,150.343401361,152.346122449
vierratale-perih,76,152.346122449,154.331428571
vierratale-perih,77,154.331428571,156.351564626
vierratale-perih,78,156.351564626,160.182857143
vierratale-perih,79,160.182857143,162.150748299
vierratale-perih,80,162.150748299,164.083809524
vierratale-perih,81,164.083809524,165.163537415
vierratale-perih,82,165.163537415,166.051700680
vierratale-perih,83,166.051700680,168.002176871
vierratale-perih,84,168.002176871,169.882993197
vierratale-perih,85,169.882993197,171.885714286
vierratale-perih,86,171.885714286,175.786666667
vierratale-perih,87,175.786666667,177.789387755
vierratale-perih,88,177.789387755,179.705034014
vierratale-perih,89,179.705034014,181.638095238
vierratale-perih,90,181.638095238,183.588571429
vierratale-perih,91,183.588571429,185.451972789
vierratale-perih,92,185.451972789,187.367619048
vierratale-perih,93,187.367619048,189.283265306
vierratale-perih,94,189.283265306,192.644353741
vierratale-perih,95,192.644353741,
