track_id,seq_order,start_time,end_time
vierratale-takut,1,0.417959184,3.529433107
vierratale-takut,2,3.529433107,6.594467120
vierratale-takut,3,6.594467120,9.613061224
vierratale-takut,4,9.613061224,12.724535147
vierratale-takut,5,12.724535147,15.789569161
vierratale-takut,6,15.789569161,17.368526077
vierratale-takut,7,17.368526077,18.924263039
vierratale-takut,8,18.924263039,20.526439909
vierratale-takut,9,20.526439909,21.942857143
vierratale-takut,10,21.942857143,25.054331066
vierratale-takut,11,25.054331066,28.142585034
vierratale-takut,12,28.142585034,31.207619048
vierratale-takut,13,31.207619048,34.295873016
vierratale-takut,14,34.295873016,37.337687075
vierratale-takut,15,37.337687075,40.495600907
vierratale-takut,16,40.495600907,41.958458050
vierratale-takut,17,41.958458050,43.583854875
vierratale-takut,18,43.583854875,45.116371882
vierratale-takut,19,45.116371882,46.625668934
vierratale-takut,20,46.625668934,49.644263039
vierratale-takut,21,49.644263039,51.223219955
vierratale-takut,22,51.223219955,52.732517007
vierratale-takut,23,52.732517007,54.241814059
vierratale-takut,24,54.241814059,55.890430839
vierratale-takut,25,55.890430839,57.353287982
vierratale-takut,26,57.353287982,58.885804989
vierratale-takut,27,58.885804989,62.020498866
vierratale-takut,28,62.020498866,65.085532880
vierratale-takut,29,65.085532880,66.641269841
vierratale-takut,30,66.641269841,68.173786848
vierratale-takut,31,68.173786848,69.706303855
vierratale-takut,32,69.706303855,71.285260771
vierratale-takut,33,71.285260771,72.771337868
vierratale-takut,34,72.771337868,74.327074830
vierratale-takut,35,74.327074830,75.836371882
vierratale-takut,36,75.836371882,77.415328798
vierratale-takut,37,77.415328798,78.971065760
vierratale-takut,38,78.971065760,80.550022676
vierratale-takut,39,80.550022676,82.036099773
vierratale-takut,40,82.036099773,83.545396825
vierratale-takut,41,83.545396825,85.077913832
vierratale-takut,42,85.077913832,86.633650794
vierratale-takut,43,86.633650794,89.791564626
vierratale-takut,44,89.791564626,92.810158730
vierratale-takut,45,92.810158730,94.319455782
vierratale-takut,46,94.319455782,95.898412698
vierratale-takut,47,95.898412698,98.917006803
vierratale-takut,48,98.917006803,100.403083900
vierratale-takut,49,100.403083900,101.912380952
vierratale-takut,50,101.912380952,103.514557823
vierratale-takut,51,103.514557823,105.139954649
vierratale-takut,52,105.139954649,106.672471655
vierratale-takut,53,106.672471655,108.181768707
vierratale-takut,54,108.181768707,111.177142857
vierratale-takut,55,111.177142857,114.358276644
vierratale-takut,56,114.358276644,115.867573696
vierratale-takut,57,115.867573696,117.469750567
vierratale-takut,58,117.469750567,118.955827664
vierratale-takut,59,118.955827664,120.604444444
vierratale-takut,60,120.604444444,121.974421769
vierratale-takut,61,121.974421769,123.599818594
vierratale-takut,62,123.599818594,125.085895692
vierratale-takut,63,125.085895692,126.688072562
vierratale-takut,64,126.688072562,128.220589569
vierratale-takut,65,128.220589569,129.776326531
vierratale-takut,66,129.776326531,131.308843537
vierratale-takut,67,131.308843537,132.818140590
vierratale-takut,68,132.818140590,134.420317460
vierratale-takut,69,134.420317460,135.883174603
vierratale-takut,70,135.883174603,138.948208617
vierratale-takut,71,138.948208617,142.059682540
vierratale-takut,72,142.059682540,143.522539683
vierratale-takut,73,143.522539683,145.217596372
vierratale-takut,74,145.217596372,148.236190476
vierratale-takut,75,148.236190476,149.768707483
vierratale-takut,76,149.768707483,151.254784580
vierratale-takut,77,151.254784580,152.833741497
vierratale-takut,78,152.833741497,154.343038549
vierratale-takut,79,154.343038549,155.945215420
vierratale-takut,80,155.945215420,157.431292517
vierratale-takut,81,157.431292517,158.917369615
vierratale-takut,82,158.917369615,160.496326531
vierratale-takut,83,160.496326531,162.028843537
vierratale-takut,84,162.028843537,163.607800454
vierratale-takut,85,163.607800454,165.093877551
vierratale-takut,86,165.093877551,166.649614512
vierratale-takut,87,166.649614512,168.182131519
vierratale-takut,88,168.182131519,169.714648526
vierratale-takut,89,169.714648526,171.223945578
vierratale-takut,90,171.223945578,172.779682540
vierratale-takut,91,172.779682540,174.358639456
vierratale-takut,92,174.358639456,175.867936508
vierratale-takut,93,175.867936508,177.446893424
vierratale-takut,94,177.446893424,178.932970522
vierratale-takut,95,178.932970522,180.442267574
vierratale-takut,96,180.442267574,181.998004535
vierratale-takut,97,181.998004535,185.109478458
vierratale-takut,98,185.109478458,188.151292517
vierratale-takut,99,188.151292517,189.916009070
vierratale-takut,100,189.916009070,192.493424036
vierratale-takut,101,192.493424036,
