track_id,seq_order,start_time,end_time
vierratale-terlalu_lama,1,3.274013605,6.664126984
vierratale-terlalu_lama,2,6.664126984,9.868480726
vierratale-terlalu_lama,3,9.868480726,12.979954649
vierratale-terlalu_lama,4,12.979954649,16.253968254
vierratale-terlalu_lama,5,16.253968254,19.481541950
vierratale-terlalu_lama,6,19.481541950,22.593015873
vierratale-terlalu_lama,7,22.593015873,25.774149660
vierratale-terlalu_lama,8,25.774149660,29.117823129
vierratale-terlalu_lama,9,29.117823129,35.456870748
vierratale-terlalu_lama,10,35.456870748,38.684444444
vierratale-terlalu_lama,11,38.684444444,41.888798186
vierratale-terlalu_lama,12,41.888798186,48.297505669
vierratale-terlalu_lama,13,48.297505669,51.362539683
vierratale-terlalu_lama,14,51.362539683,54.659773243
vierratale-terlalu_lama,15,54.659773243,57.864126984
vierratale-terlalu_lama,16,57.864126984,61.045260771
vierratale-terlalu_lama,17,61.045260771,64.249614512
vierratale-terlalu_lama,18,64.249614512,67.407528345
vierratale-terlalu_lama,19,67.407528345,70.611882086
vierratale-terlalu_lama,20,70.611882086,73.816235828
vierratale-terlalu_lama,21,73.816235828,77.020589569
vierratale-terlalu_lama,22,77.020589569,80.248163265
vierratale-terlalu_lama,23,80.248163265,83.406077098
vierratale-terlalu_lama,24,83.406077098,86.656870748
vierratale-terlalu_lama,25,86.656870748,89.861224490
vierratale-terlalu_lama,26,89.861224490,93.019138322
vierratale-terlalu_lama,27,93.019138322,96.293151927
vierratale-terlalu_lama,28,96.293151927,102.655419501
vierratale-terlalu_lama,29,102.655419501,105.859773243
vierratale-terlalu_lama,30,105.859773243,109.087346939
vierratale-terlalu_lama,31,109.087346939,115.519274376
vierratale-terlalu_lama,32,115.519274376,118.514648526
vierratale-terlalu_lama,33,118.514648526,121.835102041
vierratale-terlalu_lama,34,121.835102041,125.016235828
vierratale-terlalu_lama,35,125.016235828,128.313469388
vierratale-terlalu_lama,36,128.313469388,131.541043084
vierratale-terlalu_lama,37,131.541043084,134.629297052
vierratale-terlalu_lama,38,134.629297052,137.856870748
vierratale-terlalu_lama,39,137.856870748,141.107664399
vierratale-terlalu_lama,40,141.107664399,144.219138322
vierratale-terlalu_lama,41,144.219138322,147.400272109
vierratale-terlalu_lama,42,147.400272109,150.674285714
vierratale-terlalu_lama,43,150.674285714,153.901859410
vierratale-terlalu_lama,44,153.901859410,157.059773243
vierratale-terlalu_lama,45,157.059773243,160.310566893
vierratale-terlalu_lama,46,160.310566893,163.422040816
vierratale-terlalu_lama,47,163.422040816,166.649614512
vierratale-terlalu_lama,48,166.649614512,169.900408163
vierratale-terlalu_lama,49,169.900408163,173.081541950
vierratale-terlalu_lama,50,173.081541950,176.239455782
vierratale-terlalu_lama,51,176.239455782,179.443809524
vierratale-terlalu_lama,52,179.443809524,182.624943311
vierratale-terlalu_lama,53,182.624943311,185.898956916
vierratale-terlalu_lama,54,185.898956916,189.103310658
vierratale-terlalu_lama,55,189.103310658,192.330884354
vierratale-terlalu_lama,56,192.330884354,195.419138322
vierratale-terlalu_lama,57,195.419138322,198.553832200
vierratale-terlalu_lama,58,198.553832200,201.851065760
vierratale-terlalu_lama,59,201.851065760,205.055419501
vierratale-terlalu_lama,60,205.055419501,208.259773243
vierratale-terlalu_lama,61,208.259773243,211.464126984
vierratale-terlalu_lama,62,211.464126984,214.668480726
vierratale-terlalu_lama,63,214.668480726,217.872834467
vierratale-terlalu_lama,64,217.872834467,221.077188209
vierratale-terlalu_lama,65,221.077188209,224.258321995
vierratale-terlalu_lama,66,224.258321995,227.462675737
vierratale-terlalu_lama,67,227.462675737,230.597369615
vierratale-terlalu_lama,68,230.597369615,233.824943311
vierratale-terlalu_lama,69,233.824943311,237.052517007
vierratale-terlalu_lama,70,237.052517007,
